 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
12,489424.000,448808.000,450489.000,503885.000,481197.000,456377.000,562043.000,509159.000,541110.000,495257.000,587174.000,493129.000,472847.000,486280.000,498530.000,406520.000,467291.000,449928.000,500042.000,453609.000,490334.000,491261.000,462920.000,487405.000,467224.000,453546.000,448888.000,445624.000,476797.000,478106.000,452905.000,478267.000,487144.000,517391.000,460056.000,527283.000,582850.000,487915.000,425048.000,462825.000,444936.000,473064.000,462888.000,429576.000,425032.000,523447.000,515400.000,493658.000,428744.000,455083.000,573306.000,492824.000,557229.000,471720.000,458760.000,496258.000,481417.000,460216.000,433224.000,499106.000,428680.000,448040.000,477213.000,528279.000,439064.000
13,483357.000,445736.000,444697.000,504940.000,475997.000,450440.000,551290.000,507045.000,536017.000,493531.000,582710.000,488856.000,466477.000,482456.000,494176.000,404200.000,463675.000,446920.000,500281.000,448600.000,480622.000,491485.000,462121.000,484040.000,462920.000,452602.000,448264.000,439896.000,473949.000,473306.000,454906.000,475146.000,486313.000,519136.000,454856.000,520627.000,569666.000,483276.000,421944.000,458824.000,439080.000,470456.000,463688.000,422520.000,422568.000,521302.000,517527.000,487690.000,428280.000,449691.000,565799.000,487128.000,554426.000,467976.000,454040.000,495602.000,486985.000,461016.000,432408.000,497140.000,425064.000,445080.000,475580.000,520945.000,439784.000
14,481197.000,447432.000,446506.000,501115.000,474458.000,454489.000,544088.000,504773.000,535666.000,489276.000,580294.000,483593.000,465950.000,479832.000,494352.000,402744.000,465226.000,445048.000,497576.000,450585.000,482237.000,490990.000,460632.000,487374.000,460312.000,451193.000,447384.000,439464.000,472267.000,479368.000,450473.000,472187.000,482537.000,512480.000,457144.000,517505.000,567345.000,485340.000,420504.000,457048.000,439768.000,468216.000,456440.000,419944.000,421224.000,521720.000,513639.000,487192.000,427368.000,451611.000,555007.000,483656.000,552700.000,468731.000,453816.000,491726.000,477864.000,458104.000,426136.000,489326.000,422952.000,443576.000,468203.000,524484.000,432312.000
15,479787.000,448760.000,446409.000,499692.000,470874.000,449320.000,539943.000,499828.000,529858.000,490809.000,577157.000,482552.000,461822.000,479592.000,496688.000,403352.000,464235.000,443032.000,493992.000,448489.000,474844.000,488701.000,454696.000,485662.000,457992.000,450920.000,446376.000,437944.000,468396.000,473657.000,448008.000,468714.000,480841.000,510910.000,454552.000,515679.000,563074.000,476234.000,417896.000,458777.000,438008.000,463016.000,456184.000,422984.000,420056.000,517831.000,511513.000,485017.000,427272.000,445786.000,554556.000,482744.000,548474.000,465177.000,449240.000,489327.000,478600.000,456344.000,425832.000,486927.000,423176.000,443224.000,468123.000,515120.000,436056.000
16,474683.000,446968.000,442265.000,500173.000,466649.000,443944.000,538023.000,501219.000,531877.000,486649.000,572787.000,479432.000,459965.000,473592.000,489518.000,402952.000,462442.000,442024.000,489240.000,445240.000,469149.000,489341.000,452760.000,482667.000,455880.000,453514.000,442776.000,434920.000,467773.000,472730.000,445240.000,465706.000,477336.000,507836.000,453288.000,514719.000,560897.000,472296.000,420024.000,454456.000,437656.000,462888.000,457496.000,420552.000,419192.000,519752.000,509125.000,479672.000,421096.000,446762.000,543943.000,482072.000,546406.000,467080.000,449992.000,492833.000,475673.000,453608.000,422312.000,488575.000,418680.000,442696.000,465321.000,517696.000,431960.000
17,472298.000,443128.000,437288.000,496463.000,461737.000,446312.000,532294.000,497414.000,528946.000,487498.000,573444.000,479400.000,458859.000,475336.000,491918.000,400568.000,463597.000,441368.000,488840.000,445656.000,470460.000,483533.000,451160.000,478475.000,458040.000,449385.000,445432.000,432984.000,462860.000,469336.000,442232.000,466810.000,475720.000,506219.000,454040.000,513202.000,553248.000,476459.000,417608.000,450792.000,436824.000,461016.000,455448.000,421048.000,417928.000,516134.000,508118.000,479960.000,424280.000,443819.000,542503.000,476904.000,542292.000,468088.000,447432.000,487680.000,475577.000,455864.000,423192.000,482638.000,417800.000,441352.000,461435.000,514528.000,430808.000
18,470632.000,442568.000,439992.000,494921.000,458424.000,443704.000,530887.000,495444.000,523442.000,481929.000,573702.000,474520.000,459468.000,472088.000,488526.000,399720.000,461099.000,438216.000,492088.000,444568.000,463852.000,487421.000,454248.000,465288.000,447032.000,451337.000,443192.000,431624.000,464508.000,469960.000,443928.000,465145.000,474072.000,502253.000,447592.000,512816.000,548878.000,465160.000,417880.000,453784.000,437464.000,463592.000,454968.000,420008.000,417896.000,513779.000,508486.000,483530.000,423816.000,440505.000,537683.000,477640.000,540087.000,466856.000,446856.000,489504.000,477560.000,458456.000,423128.000,482942.000,418888.000,440680.000,461240.000,512032.000,431768.000
19,462792.000,431960.000,420088.000,467448.000,443688.000,431512.000,524150.000,480126.000,515745.000,473832.000,564096.000,466712.000,445754.000,457096.000,469272.000,387128.000,455016.000,435960.000,466200.000,425880.000,463052.000,473897.000,439784.000,441912.000,423576.000,445160.000,421752.000,424344.000,458923.000,464040.000,431752.000,453560.000,466568.000,492041.000,445304.000,500793.000,539740.000,444376.000,409624.000,427352.000,424536.000,454968.000,442840.000,411576.000,409656.000,486089.000,490528.000,464760.000,396152.000,435848.000,531628.000,467480.000,526748.000,451368.000,446216.000,476170.000,468136.000,445656.000,418488.000,471164.000,411464.000,404328.000,452888.000,507919.000,422232.000
20,431352.000,414328.000,396168.000,434568.000,417736.000,416344.000,518613.000,443256.000,490428.000,447864.000,525268.000,438072.000,427834.000,435464.000,439848.000,380375.000,433224.000,421320.000,435208.000,398744.000,467132.000,445208.000,413432.000,424280.000,410248.000,403544.000,392504.000,408536.000,440425.000,437704.000,411528.000,438712.000,448344.000,470296.000,429384.000,465720.000,524710.000,432088.000,398984.000,399432.000,400952.000,418280.000,417576.000,395880.000,392136.000,462216.000,461032.000,443816.000,382680.000,427560.000,536179.000,451496.000,510584.000,436536.000,443736.000,454008.000,442408.000,419544.000,421512.000,463258.000,400824.000,389112.000,436152.000,505822.000,412472.000
21,428952.000,412120.000,392952.000,428664.000,416520.000,418232.000,527781.000,429976.000,484011.000,445544.000,514995.000,432904.000,428201.000,428904.000,431768.000,382472.000,432488.000,412680.000,430008.000,392360.000,474653.000,446312.000,410104.000,430872.000,406824.000,402232.000,390616.000,407224.000,434600.000,430904.000,407000.000,432408.000,446168.000,465832.000,430136.000,462504.000,532343.000,432184.000,399320.000,391784.000,396264.000,413800.000,415432.000,398536.000,389224.000,457864.000,456024.000,439496.000,377608.000,432728.000,537632.000,442936.000,509256.000,436872.000,449768.000,451208.000,442392.000,413576.000,426040.000,466667.000,400648.000,387016.000,426680.000,508639.000,410904.000
